597,410,340,630,599,474,148,68
147,84,98,264,415,117,37,572
56,617,249,362,342,441,684,159
694,408,401,419,798,95,631,274
381,442,331,594,664,704,786,308
494,714,740,213,229,768,510,313
100,166,325,791,199,473,360,619
343,434,329,150,197,524,99,420
91,216,496,55,273,497,605,522
388,775,438,328,529,210,278,658
621,118,661,335,121,737,549,135
200,374,666,120,69,230,615,131
728,708,238,735,757,578,450,724
377,193,334,712,561,628,445,508
700,223,668,722,211,613,320,163
96,366,271,720,449,389,149,472
480,341,709,717,590,36,355,31
579,431,417,774,681,357,487,603
395,538,337,669,423,608,38,178
115,555,476,425,293,152,247,490
693,386,560,336,689,302,797,746
201,347,411,185,77,533,297,782
653,650,551,459,458,752,427,57
86,189,554,234,384,565,574,540
251,245,610,79,217,204,303,316
534,460,138,48,397,153,436,319
794,478,218,464,611,663,691,488
330,387,277,253,83,506,511,582
390,114,40,588,250,346,559,741
142,143,526,133,361,790,646,456
284,606,104,532,407,233,795,394
279,167,225,695,231,128,399,770
244,546,600,659,632,385,181,52
220,625,221,575,113,300,672,491
66,188,289,734,739,698,402,426
261,418,46,484,125,435,662,612
759,339,292,552,675,285,584,633
72,180,309,101,172,727,699,777
295,586,349,736,783,87,122,505
576,237,501,465,352,788,103,222
710,299,482,716,800,721,82,59
545,156,202,30,80,154,780,50
656,318,219,354,719,65,332,748
745,751,568,764,198,660,729,345
307,248,432,462,443,291,516,583
471,235,749,567,214,130,428,241
33,73,635,322,512,639,762,618
637,376,43,531,492,398,547,137
404,499,530,743,275,129,364,523
509,379,430,703,108,634,750,310
269,673,254,755,144,67,446,657
161,170,62,356,556,711,192,262
71,566,157,544,370,772,543,400
604,227,502,587,626,580,312,85
47,569,205,141,787,110,263,127
240,767,602,106,541,344,373,258
624,236,570,640,641,424,109,259
286,513,323,591,765,195,324,508
642,145,276,680,107,63,682,179
54,706,761,498,305,215,685,718
123,350,503,70,375,696,647,183
773,175,470,439,793,75,638,90
92,676,654,595,683,723,266,61
592,448,701,688,81,738,283,519
707,280,232,758,607,49,789,76
392,564,369,416,655,542,294,454
102,705,158,45,453,348,208,776
155,39,422,281,287,486,528,44
380,160,433,452,191,414,670,623
537,298,649,246,754,469,124,174
393,412,304,326,769,126,306,521
391,134,136,550,483,489,440,288
359,282,785,53,89,733,363,34
267,598,563,451,242,97,140,353
406,481,562,514,463,781,405,548
184,444,771,182,515,226,485,270
290,667,112,94,629,457,162,467
372,731,466,645,702,88,455,495
209,535,358,203,715,518,105,317
627,187,383,601,260,686,756,679
41,726,468,367,35,51,622,558
382,194,678,171,132,763,351,778
742,176,403,527,589,207,437,784
577,146,648,169,311,713,674,255
504,396,74,614,744,553,301,730
643,64,119,333,525,78,296,42
557,173,571,760,792,690,164,479
500,186,665,139,596,779,636,652
687,256,168,581,493,272,239,327
268,365,177,651,196,93,265,692
257,747,321,228,252,206,799,671
224,620,677,32,517,413,725,243
539,573,409,644,461,477,766,520
371,378,429,796,314,116,338,536
165,732,753,475,616,609,190,593
